date_tdb,jd_tdb,lambda_deg,beta_deg,distance_au,x_au,y_au,z_au,vx_km_s,vy_km_s,vz_km_s,radial_velocity_km_s
2016-Jan-01 00:00:00.0000 TDB,2457388.50000,292.840568,2.396560,121.237379,47.019335,-111.633253,5.069621,-23.232346,53.188023,-2.372105,-58.083960
2016-Jan-02 00:00:00.0000 TDB,2457389.50000,292.840359,2.396575,121.203833,47.005917,-111.602535,5.068251,-23.232359,53.188055,-2.372106,-58.083992
2016-Jan-03 00:00:00.0000 TDB,2457390.50000,292.840150,2.396591,121.170287,46.992499,-111.571816,5.066881,-23.232373,53.188087,-2.372108,-58.084024
2016-Jan-04 00:00:00.0000 TDB,2457391.50000,292.839941,2.396606,121.136740,46.979081,-111.541097,5.065511,-23.232386,53.188119,-2.372109,-58.084057
2016-Jan-05 00:00:00.0000 TDB,2457392.50000,292.839731,2.396622,121.103194,46.965663,-111.510379,5.064141,-23.232400,53.188151,-2.372111,-58.084089
2016-Jan-06 00:00:00.0000 TDB,2457393.50000,292.839522,2.396637,121.069648,46.952246,-111.479660,5.062771,-23.232413,53.188184,-2.372112,-58.084121
2016-Jan-07 00:00:00.0000 TDB,2457394.50000,292.839312,2.396653,121.036101,46.938828,-111.448941,5.061401,-23.232427,53.188216,-2.372114,-58.084153
2016-Jan-08 00:00:00.0000 TDB,2457395.50000,292.839103,2.396668,121.002555,46.925410,-111.418222,5.060031,-23.232440,53.188248,-2.372115,-58.084185
2016-Jan-09 00:00:00.0000 TDB,2457396.50000,292.838893,2.396684,120.969009,46.911992,-111.387504,5.058661,-23.232454,53.188280,-2.372117,-58.084218
2016-Jan-10 00:00:00.0000 TDB,2457397.50000,292.838683,2.396700,120.935462,46.898574,-111.356785,5.057291,-23.232468,53.188313,-2.372118,-58.084250
2016-Jan-11 00:00:00.0000 TDB,2457398.50000,292.838473,2.396715,120.901916,46.885156,-111.326066,5.055921,-23.232481,53.188345,-2.372120,-58.084282
2016-Jan-12 00:00:00.0000 TDB,2457399.50000,292.838263,2.396731,120.868369,46.871738,-111.295347,5.054551,-23.232495,53.188377,-2.372121,-58.084314
2016-Jan-13 00:00:00.0000 TDB,2457400.50000,292.838053,2.396746,120.834823,46.858320,-111.264628,5.053181,-23.232509,53.188410,-2.372123,-58.084347
2016-Jan-14 00:00:00.0000 TDB,2457401.50000,292.837842,2.396762,120.801276,46.844903,-111.233909,5.051811,-23.232522,53.188442,-2.372124,-58.084379
