date_tdb,jd_tdb,lambda_sidereal_deg,beta_deg,distance_au,ayanamsa_deg,x_au,y_au,z_au,vx_km_s,vy_km_s,vz_km_s,radial_velocity_km_s
2016-Jan-01 00:00:00.0000 TDB,2457388.50000,267.770734,2.377870,122.194423,24.963555,47.182358,-112.603726,5.069817,6.607293,58.328951,-2.371337,-51.298018
2016-Jan-02 00:00:00.0000 TDB,2457389.50000,267.778490,2.377807,122.164648,24.963578,47.186148,-112.569887,5.068447,6.515388,58.850488,-2.371389,-51.810210
2016-Jan-03 00:00:00.0000 TDB,2457390.50000,267.786278,2.377750,122.134577,24.963604,47.189882,-112.535748,5.067078,6.414136,59.370794,-2.371486,-52.324829
2016-Jan-04 00:00:00.0000 TDB,2457391.50000,267.794093,2.377699,122.104207,24.963634,47.193555,-112.501308,5.065708,6.303480,59.889674,-2.371627,-52.841726
2016-Jan-05 00:00:00.0000 TDB,2457392.50000,267.801930,2.377653,122.073539,24.963672,47.197162,-112.466570,5.064338,6.183365,60.406928,-2.371807,-53.360740
2016-Jan-06 00:00:00.0000 TDB,2457393.50000,267.809785,2.377613,122.042570,24.963719,47.200696,-112.431533,5.062968,6.053738,60.922343,-2.372022,-53.881700
2016-Jan-07 00:00:00.0000 TDB,2457394.50000,267.817655,2.377579,122.011300,24.963776,47.204152,-112.396199,5.061598,5.914551,61.435686,-2.372265,-54.404417
2016-Jan-08 00:00:00.0000 TDB,2457395.50000,267.825539,2.377550,121.979727,24.963840,47.207526,-112.360569,5.060228,5.765760,61.946704,-2.372527,-54.928678
2016-Jan-09 00:00:00.0000 TDB,2457396.50000,267.833438,2.377528,121.947852,24.963908,47.210811,-112.324645,5.058858,5.607339,62.455114,-2.372797,-55.454237
2016-Jan-10 00:00:00.0000 TDB,2457397.50000,267.841354,2.377511,121.915672,24.963976,47.214001,-112.288428,5.057487,5.439291,62.960607,-2.373061,-55.980814
2016-Jan-11 00:00:00.0000 TDB,2457398.50000,267.849289,2.377500,121.883188,24.964039,47.217092,-112.251920,5.056117,5.261662,63.462853,-2.373305,-56.508092
2016-Jan-12 00:00:00.0000 TDB,2457399.50000,267.857246,2.377495,121.850400,24.964091,47.220077,-112.215123,5.054746,5.074549,63.961515,-2.373512,-57.035727
2016-Jan-13 00:00:00.0000 TDB,2457400.50000,267.865225,2.377496,121.817307,24.964131,47.222951,-112.178039,5.053375,4.878109,64.456265,-2.373670,-57.563363
2016-Jan-14 00:00:00.0000 TDB,2457401.50000,267.873220,2.377503,121.783909,24.964160,47.225710,-112.140671,5.052004,4.672548,64.946811,-2.373766,-58.090653
2016-Jan-15 00:00:00.0000 TDB,2457402.50000,267.881227,2.377516,121.750206,24.964180,47.228347,-112.103020,5.050633,4.458115,65.432903,-2.373796,-58.617279
2016-Jan-16 00:00:00.0000 TDB,2457403.50000,267.889236,2.377534,121.716200,24.964200,47.230858,-112.065090,5.049262,4.235077,65.914352,-2.373757,-59.142967
2016-Jan-17 00:00:00.0000 TDB,2457404.50000,267.897238,2.377559,121.681891,24.964224,47.233237,-112.026884,5.047891,4.003707,66.391023,-2.373653,-59.667492
2016-Jan-18 00:00:00.0000 TDB,2457405.50000,267.905227,2.377590,121.647279,24.964257,47.235481,-111.988403,5.046520,3.764263,66.862835,-2.373494,-60.190687
2016-Jan-19 00:00:00.0000 TDB,2457406.50000,267.913196,2.377626,121.612365,24.964303,47.237584,-111.949651,5.045150,3.516977,67.329752,-2.373290,-60.712432
