# YYYY MM DD HHMM  Lon_sid(deg)  Lat(deg)  Dist(AU)  Ayanamsa(deg)
2016 01 01 0000  267.770734  2.377870  122.194423  24.963555
2016 01 02 0000  267.778490  2.377807  122.164648  24.963578
2016 01 03 0000  267.786278  2.377750  122.134577  24.963604
2016 01 04 0000  267.794093  2.377699  122.104207  24.963634
2016 01 05 0000  267.801930  2.377653  122.073539  24.963672
2016 01 06 0000  267.809785  2.377613  122.042570  24.963719
2016 01 07 0000  267.817655  2.377579  122.011300  24.963776
2016 01 08 0000  267.825539  2.377550  121.979727  24.963840
2016 01 09 0000  267.833438  2.377528  121.947852  24.963908
2016 01 10 0000  267.841354  2.377511  121.915672  24.963976
2016 01 11 0000  267.849289  2.377500  121.883188  24.964039
2016 01 12 0000  267.857246  2.377495  121.850400  24.964091
2016 01 13 0000  267.865225  2.377496  121.817307  24.964131
2016 01 14 0000  267.873220  2.377503  121.783909  24.964160
2016 01 15 0000  267.881227  2.377516  121.750206  24.964180
2016 01 16 0000  267.889236  2.377534  121.716200  24.964200
2016 01 17 0000  267.897238  2.377559  121.681891  24.964224
2016 01 18 0000  267.905227  2.377590  121.647279  24.964257
2016 01 19 0000  267.913196  2.377626  121.612365  24.964303
2016 01 20 0000  267.921145  2.377669  121.577150  24.964360
2016 01 21 0000  267.929075  2.377717  121.541636  24.964425
2016 01 22 0000  267.936989  2.377772  121.505822  24.964491
2016 01 23 0000  267.944890  2.377832  121.469710  24.964554
2016 01 24 0000  267.952781  2.377899  121.433301  24.964609
2016 01 25 0000  267.960662  2.377971  121.396595  24.964653
2016 01 26 0000  267.968531  2.378049  121.359594  24.964686
2016 01 27 0000  267.976384  2.378133  121.322298  24.964709
2016 01 28 0000  267.984215  2.378223  121.284709  24.964726
2016 01 29 0000  267.992020  2.378318  121.246828  24.964740
2016 01 30 0000  267.999791  2.378420  121.208655  24.964755
2016 01 31 0000  268.007523  2.378527  121.170192  24.964773
2016 02 01 0000  268.015212  2.378640  121.131441  24.964798
2016 02 02 0000  268.022853  2.378758  121.092402  24.964831
2016 02 03 0000  268.030443  2.378882  121.053077  24.964872
2016 02 04 0000  268.037980  2.379012  121.013468  24.964922
2016 02 05 0000  268.045464  2.379147  120.973576  24.964977
2016 02 06 0000  268.052896  2.379288  120.933404  24.965035
2016 02 07 0000  268.060280  2.379434  120.892953  24.965089
2016 02 08 0000  268.067617  2.379586  120.852225  24.965135
2016 02 09 0000  268.074909  2.379743  120.811223  24.965169
2016 02 10 0000  268.082155  2.379906  120.769949  24.965190
2016 02 11 0000  268.089348  2.380074  120.728406  24.965200
2016 02 12 0000  268.096481  2.380247  120.686597  24.965207
2016 02 13 0000  268.103544  2.380426  120.644526  24.965217
2016 02 14 0000  268.110529  2.380610  120.602194  24.965236
2016 02 15 0000  268.117431  2.380799  120.559606  24.965267
2016 02 16 0000  268.124249  2.380994  120.516764  24.965309
2016 02 17 0000  268.130983  2.381194  120.473673  24.965359
2016 02 18 0000  268.137638  2.381398  120.430335  24.965412
2016 02 19 0000  268.144215  2.381608  120.386753  24.965463
2016 02 20 0000  268.150718  2.381823  120.342931  24.965507
2016 02 21 0000  268.157148  2.382043  120.298871  24.965541
2016 02 22 0000  268.163504  2.382267  120.254578  24.965565
2016 02 23 0000  268.169783  2.382496  120.210054  24.965579
2016 02 24 0000  268.175981  2.382730  120.165303  24.965585
2016 02 25 0000  268.182093  2.382969  120.120328  24.965588
2016 02 26 0000  268.188113  2.383212  120.075132  24.965590
2016 02 27 0000  268.194036  2.383460  120.029718  24.965595
2016 02 28 0000  268.199857  2.383712  119.984090  24.965606
2016 02 29 0000  268.205574  2.383968  119.938252  24.965624
2016 03 01 0000  268.211182  2.384229  119.892207  24.965651
2016 03 02 0000  268.216682  2.384494  119.845958  24.965686
2016 03 03 0000  268.222071  2.384763  119.799509  24.965727
2016 03 04 0000  268.227352  2.385036  119.752864  24.965772
2016 03 05 0000  268.232527  2.385313  119.706027  24.965816
2016 03 06 0000  268.237598  2.385594  119.659003  24.965856
