date_tdb,jd_tdb,lambda_deg,beta_deg,distance_au,x_au,y_au,z_au,vx_km_s,vy_km_s,vz_km_s,radial_velocity_km_s
2016-Jan-01 00:00:00.0000 TDB,2457388.50000,292.838681,2.396639,121.237228,47.015597,-111.634656,5.069783,-23.233838,53.176083,-2.372057,-58.073518
2016-Jan-02 00:00:00.0000 TDB,2457389.50000,292.838470,2.396654,121.203688,47.002179,-111.603944,5.068413,-23.233833,53.176110,-2.372059,-58.073538
2016-Jan-03 00:00:00.0000 TDB,2457390.50000,292.838259,2.396670,121.170147,46.988760,-111.573232,5.067043,-23.233828,53.176137,-2.372060,-58.073558
2016-Jan-04 00:00:00.0000 TDB,2457391.50000,292.838048,2.396685,121.136607,46.975341,-111.542520,5.065673,-23.233823,53.176164,-2.372062,-58.073578
2016-Jan-05 00:00:00.0000 TDB,2457392.50000,292.837836,2.396701,121.103067,46.961923,-111.511808,5.064303,-23.233818,53.176191,-2.372064,-58.073598
2016-Jan-06 00:00:00.0000 TDB,2457393.50000,292.837625,2.396716,121.069526,46.948504,-111.481097,5.062933,-23.233813,53.176218,-2.372066,-58.073618
2016-Jan-07 00:00:00.0000 TDB,2457394.50000,292.837413,2.396732,121.035986,46.935086,-111.450385,5.061563,-23.233807,53.176245,-2.372068,-58.073638
2016-Jan-08 00:00:00.0000 TDB,2457395.50000,292.837201,2.396747,121.002446,46.921667,-111.419673,5.060193,-23.233802,53.176272,-2.372070,-58.073658
2016-Jan-09 00:00:00.0000 TDB,2457396.50000,292.836989,2.396763,120.968905,46.908248,-111.388961,5.058823,-23.233797,53.176299,-2.372072,-58.073678
2016-Jan-10 00:00:00.0000 TDB,2457397.50000,292.836777,2.396778,120.935365,46.894830,-111.358249,5.057453,-23.233791,53.176326,-2.372075,-58.073698
2016-Jan-11 00:00:00.0000 TDB,2457398.50000,292.836565,2.396793,120.901825,46.881411,-111.327537,5.056083,-23.233785,53.176354,-2.372077,-58.073719
2016-Jan-12 00:00:00.0000 TDB,2457399.50000,292.836353,2.396809,120.868284,46.867992,-111.296825,5.054713,-23.233780,53.176381,-2.372079,-58.073739
2016-Jan-13 00:00:00.0000 TDB,2457400.50000,292.836140,2.396824,120.834744,46.854574,-111.266113,5.053343,-23.233774,53.176409,-2.372081,-58.073759
2016-Jan-14 00:00:00.0000 TDB,2457401.50000,292.835928,2.396840,120.801204,46.841155,-111.235401,5.051973,-23.233768,53.176437,-2.372083,-58.073780
2016-Jan-15 00:00:00.0000 TDB,2457402.50000,292.835715,2.396856,120.767663,46.827736,-111.204689,5.050603,-23.233762,53.176464,-2.372085,-58.073800
2016-Jan-16 00:00:00.0000 TDB,2457403.50000,292.835502,2.396871,120.734123,46.814318,-111.173977,5.049233,-23.233756,53.176493,-2.372087,-58.073821
2016-Jan-17 00:00:00.0000 TDB,2457404.50000,292.835290,2.396887,120.700582,46.800899,-111.143265,5.047863,-23.233750,53.176521,-2.372089,-58.073842
2016-Jan-18 00:00:00.0000 TDB,2457405.50000,292.835077,2.396902,120.667042,46.787481,-111.112553,5.046493,-23.233743,53.176549,-2.372091,-58.073863
2016-Jan-19 00:00:00.0000 TDB,2457406.50000,292.834864,2.396918,120.633501,46.774062,-111.081841,5.045123,-23.233737,53.176578,-2.372093,-58.073884
2016-Jan-20 00:00:00.0000 TDB,2457407.50000,292.834650,2.396933,120.599961,46.760643,-111.051129,5.043753,-23.233731,53.176607,-2.372095,-58.073905
2016-Jan-21 00:00:00.0000 TDB,2457408.50000,292.834437,2.396949,120.566420,46.747225,-111.020417,5.042383,-23.233725,53.176636,-2.372097,-58.073927
2016-Jan-22 00:00:00.0000 TDB,2457409.50000,292.834224,2.396964,120.532880,46.733806,-110.989705,5.041013,-23.233719,53.176665,-2.372099,-58.073949
2016-Jan-23 00:00:00.0000 TDB,2457410.50000,292.834010,2.396980,120.499339,46.720388,-110.958993,5.039643,-23.233713,53.176694,-2.372101,-58.073970
2016-Jan-24 00:00:00.0000 TDB,2457411.50000,292.833797,2.396996,120.465799,46.706969,-110.928281,5.038273,-23.233706,53.176724,-2.372103,-58.073992
2016-Jan-25 00:00:00.0000 TDB,2457412.50000,292.833583,2.397011,120.432258,46.693550,-110.897569,5.036903,-23.233700,53.176753,-2.372105,-58.074014
2016-Jan-26 00:00:00.0000 TDB,2457413.50000,292.833369,2.397027,120.398718,46.680132,-110.866857,5.035533,-23.233694,53.176783,-2.372107,-58.074037
2016-Jan-27 00:00:00.0000 TDB,2457414.50000,292.833155,2.397042,120.365177,46.666713,-110.836145,5.034163,-23.233688,53.176813,-2.372109,-58.074059
2016-Jan-28 00:00:00.0000 TDB,2457415.50000,292.832941,2.397058,120.331637,46.653295,-110.805432,5.032793,-23.233682,53.176843,-2.372111,-58.074082
2016-Jan-29 00:00:00.0000 TDB,2457416.50000,292.832727,2.397074,120.298096,46.639876,-110.774720,5.031423,-23.233676,53.176874,-2.372113,-58.074104
2016-Jan-30 00:00:00.0000 TDB,2457417.50000,292.832512,2.397089,120.264555,46.626458,-110.744008,5.030053,-23.233670,53.176904,-2.372115,-58.074127
2016-Jan-31 00:00:00.0000 TDB,2457418.50000,292.832298,2.397105,120.231015,46.613039,-110.713296,5.028683,-23.233664,53.176935,-2.372117,-58.074150
2016-Feb-01 00:00:00.0000 TDB,2457419.50000,292.832083,2.397121,120.197474,46.599620,-110.682583,5.027313,-23.233659,53.176965,-2.372119,-58.074173
2016-Feb-02 00:00:00.0000 TDB,2457420.50000,292.831869,2.397136,120.163933,46.586202,-110.651871,5.025943,-23.233653,53.176996,-2.372121,-58.074197
2016-Feb-03 00:00:00.0000 TDB,2457421.50000,292.831654,2.397152,120.130393,46.572783,-110.621159,5.024573,-23.233647,53.177027,-2.372123,-58.074220
2016-Feb-04 00:00:00.0000 TDB,2457422.50000,292.831439,2.397168,120.096852,46.559365,-110.590447,5.023203,-23.233642,53.177058,-2.372125,-58.074244
2016-Feb-05 00:00:00.0000 TDB,2457423.50000,292.831224,2.397183,120.063311,46.545946,-110.559734,5.021833,-23.233636,53.177089,-2.372127,-58.074267
2016-Feb-06 00:00:00.0000 TDB,2457424.50000,292.831009,2.397199,120.029771,46.532528,-110.529022,5.020463,-23.233631,53.177120,-2.372129,-58.074291
2016-Feb-07 00:00:00.0000 TDB,2457425.50000,292.830794,2.397215,119.996230,46.519109,-110.498309,5.019093,-23.233625,53.177152,-2.372131,-58.074315
2016-Feb-08 00:00:00.0000 TDB,2457426.50000,292.830578,2.397231,119.962689,46.505691,-110.467597,5.017723,-23.233620,53.177183,-2.372133,-58.074339
2016-Feb-09 00:00:00.0000 TDB,2457427.50000,292.830363,2.397246,119.929148,46.492272,-110.436885,5.016353,-23.233615,53.177215,-2.372135,-58.074363
2016-Feb-10 00:00:00.0000 TDB,2457428.50000,292.830147,2.397262,119.895608,46.478854,-110.406172,5.014983,-23.233609,53.177246,-2.372136,-58.074387
2016-Feb-11 00:00:00.0000 TDB,2457429.50000,292.829931,2.397278,119.862067,46.465435,-110.375460,5.013612,-23.233604,53.177278,-2.372138,-58.074412
2016-Feb-12 00:00:00.0000 TDB,2457430.50000,292.829716,2.397294,119.828526,46.452016,-110.344747,5.012242,-23.233599,53.177310,-2.372140,-58.074436
2016-Feb-13 00:00:00.0000 TDB,2457431.50000,292.829500,2.397309,119.794985,46.438598,-110.314035,5.010872,-23.233594,53.177342,-2.372142,-58.074461
2016-Feb-14 00:00:00.0000 TDB,2457432.50000,292.829284,2.397325,119.761445,46.425179,-110.283322,5.009502,-23.233589,53.177374,-2.372144,-58.074485
2016-Feb-15 00:00:00.0000 TDB,2457433.50000,292.829067,2.397341,119.727904,46.411761,-110.252610,5.008132,-23.233584,53.177406,-2.372146,-58.074510
2016-Feb-16 00:00:00.0000 TDB,2457434.50000,292.828851,2.397357,119.694363,46.398342,-110.221897,5.006762,-23.233579,53.177438,-2.372148,-58.074535
2016-Feb-17 00:00:00.0000 TDB,2457435.50000,292.828635,2.397372,119.660822,46.384924,-110.191185,5.005392,-23.233575,53.177470,-2.372150,-58.074560
2016-Feb-18 00:00:00.0000 TDB,2457436.50000,292.828418,2.397388,119.627281,46.371505,-110.160472,5.004022,-23.233570,53.177503,-2.372151,-58.074585
2016-Feb-19 00:00:00.0000 TDB,2457437.50000,292.828202,2.397404,119.593740,46.358087,-110.129760,5.002652,-23.233565,53.177535,-2.372153,-58.074611
2016-Feb-20 00:00:00.0000 TDB,2457438.50000,292.827985,2.397420,119.560199,46.344668,-110.099047,5.001282,-23.233561,53.177568,-2.372155,-58.074636
2016-Feb-21 00:00:00.0000 TDB,2457439.50000,292.827768,2.397436,119.526658,46.331250,-110.068334,4.999912,-23.233557,53.177600,-2.372157,-58.074661
2016-Feb-22 00:00:00.0000 TDB,2457440.50000,292.827551,2.397452,119.493118,46.317831,-110.037622,4.998542,-23.233552,53.177633,-2.372159,-58.074687
2016-Feb-23 00:00:00.0000 TDB,2457441.50000,292.827334,2.397467,119.459577,46.304413,-110.006909,4.997172,-23.233548,53.177666,-2.372161,-58.074712
2016-Feb-24 00:00:00.0000 TDB,2457442.50000,292.827117,2.397483,119.426036,46.290994,-109.976196,4.995802,-23.233544,53.177699,-2.372163,-58.074738
2016-Feb-25 00:00:00.0000 TDB,2457443.50000,292.826899,2.397499,119.392495,46.277576,-109.945484,4.994432,-23.233540,53.177732,-2.372164,-58.074764
2016-Feb-26 00:00:00.0000 TDB,2457444.50000,292.826682,2.397515,119.358954,46.264157,-109.914771,4.993062,-23.233535,53.177765,-2.372166,-58.074790
2016-Feb-27 00:00:00.0000 TDB,2457445.50000,292.826464,2.397531,119.325413,46.250739,-109.884058,4.991692,-23.233532,53.177798,-2.372168,-58.074816
2016-Feb-28 00:00:00.0000 TDB,2457446.50000,292.826246,2.397547,119.291872,46.237320,-109.853346,4.990322,-23.233528,53.177831,-2.372170,-58.074842
2016-Feb-29 00:00:00.0000 TDB,2457447.50000,292.826029,2.397563,119.258331,46.223902,-109.822633,4.988952,-23.233524,53.177864,-2.372172,-58.074868
2016-Mar-01 00:00:00.0000 TDB,2457448.50000,292.825811,2.397579,119.224790,46.210483,-109.791920,4.987582,-23.233520,53.177897,-2.372173,-58.074894
2016-Mar-02 00:00:00.0000 TDB,2457449.50000,292.825593,2.397595,119.191248,46.197065,-109.761207,4.986212,-23.233516,53.177930,-2.372175,-58.074920
2016-Mar-03 00:00:00.0000 TDB,2457450.50000,292.825375,2.397610,119.157707,46.183646,-109.730494,4.984842,-23.233513,53.177964,-2.372177,-58.074947
2016-Mar-04 00:00:00.0000 TDB,2457451.50000,292.825156,2.397626,119.124166,46.170228,-109.699781,4.983472,-23.233509,53.177997,-2.372179,-58.074973
2016-Mar-05 00:00:00.0000 TDB,2457452.50000,292.824938,2.397642,119.090625,46.156810,-109.669069,4.982102,-23.233506,53.178030,-2.372181,-58.075000
2016-Mar-06 00:00:00.0000 TDB,2457453.50000,292.824719,2.397658,119.057084,46.143391,-109.638356,4.980732,-23.233503,53.178064,-2.372182,-58.075026
2016-Mar-07 00:00:00.0000 TDB,2457454.50000,292.824501,2.397674,119.023543,46.129973,-109.607643,4.979362,-23.233499,53.178097,-2.372184,-58.075053
2016-Mar-08 00:00:00.0000 TDB,2457455.50000,292.824282,2.397690,118.990002,46.116554,-109.576930,4.977991,-23.233496,53.178131,-2.372186,-58.075080
2016-Mar-09 00:00:00.0000 TDB,2457456.50000,292.824063,2.397706,118.956461,46.103136,-109.546217,4.976621,-23.233493,53.178164,-2.372188,-58.075106
2016-Mar-10 00:00:00.0000 TDB,2457457.50000,292.823844,2.397722,118.922919,46.089717,-109.515504,4.975251,-23.233490,53.178198,-2.372190,-58.075133
2016-Mar-11 00:00:00.0000 TDB,2457458.50000,292.823625,2.397738,118.889378,46.076299,-109.484791,4.973881,-23.233487,53.178232,-2.372191,-58.075160
2016-Mar-12 00:00:00.0000 TDB,2457459.50000,292.823406,2.397754,118.855837,46.062880,-109.454078,4.972511,-23.233485,53.178265,-2.372193,-58.075187
2016-Mar-13 00:00:00.0000 TDB,2457460.50000,292.823186,2.397770,118.822296,46.049462,-109.423365,4.971141,-23.233482,53.178299,-2.372195,-58.075214
2016-Mar-14 00:00:00.0000 TDB,2457461.50000,292.822967,2.397786,118.788754,46.036043,-109.392652,4.969771,-23.233479,53.178333,-2.372197,-58.075241
2016-Mar-15 00:00:00.0000 TDB,2457462.50000,292.822747,2.397802,118.755213,46.022625,-109.361939,4.968401,-23.233477,53.178367,-2.372198,-58.075268
2016-Mar-16 00:00:00.0000 TDB,2457463.50000,292.822527,2.397818,118.721672,46.009206,-109.331226,4.967031,-23.233474,53.178400,-2.372200,-58.075296
2016-Mar-17 00:00:00.0000 TDB,2457464.50000,292.822308,2.397834,118.688131,45.995788,-109.300513,4.965661,-23.233472,53.178434,-2.372202,-58.075323
2016-Mar-18 00:00:00.0000 TDB,2457465.50000,292.822088,2.397850,118.654589,45.982370,-109.269799,4.964291,-23.233470,53.178468,-2.372204,-58.075350
2016-Mar-19 00:00:00.0000 TDB,2457466.50000,292.821868,2.397867,118.621048,45.968951,-109.239086,4.962921,-23.233467,53.178502,-2.372205,-58.075377
2016-Mar-20 00:00:00.0000 TDB,2457467.50000,292.821647,2.397883,118.587507,45.955533,-109.208373,4.961551,-23.233465,53.178535,-2.372207,-58.075405
2016-Mar-21 00:00:00.0000 TDB,2457468.50000,292.821427,2.397899,118.553965,45.942114,-109.177660,4.960181,-23.233463,53.178569,-2.372209,-58.075432
2016-Mar-22 00:00:00.0000 TDB,2457469.50000,292.821207,2.397915,118.520424,45.928696,-109.146947,4.958811,-23.233461,53.178603,-2.372211,-58.075459
2016-Mar-23 00:00:00.0000 TDB,2457470.50000,292.820986,2.397931,118.486883,45.915277,-109.116234,4.957441,-23.233460,53.178637,-2.372212,-58.075487
2016-Mar-24 00:00:00.0000 TDB,2457471.50000,292.820765,2.397947,118.453341,45.901859,-109.085520,4.956071,-23.233458,53.178670,-2.372214,-58.075514
2016-Mar-25 00:00:00.0000 TDB,2457472.50000,292.820545,2.397963,118.419800,45.888440,-109.054807,4.954700,-23.233456,53.178704,-2.372216,-58.075541
2016-Mar-26 00:00:00.0000 TDB,2457473.50000,292.820324,2.397979,118.386258,45.875022,-109.024094,4.953330,-23.233454,53.178737,-2.372218,-58.075569
2016-Mar-27 00:00:00.0000 TDB,2457474.50000,292.820103,2.397995,118.352717,45.861604,-108.993380,4.951960,-23.233453,53.178771,-2.372219,-58.075596
2016-Mar-28 00:00:00.0000 TDB,2457475.50000,292.819881,2.398012,118.319175,45.848185,-108.962667,4.950590,-23.233451,53.178804,-2.372221,-58.075623
2016-Mar-29 00:00:00.0000 TDB,2457476.50000,292.819660,2.398028,118.285634,45.834767,-108.931954,4.949220,-23.233450,53.178838,-2.372223,-58.075650
2016-Mar-30 00:00:00.0000 TDB,2457477.50000,292.819439,2.398044,118.252092,45.821348,-108.901240,4.947850,-23.233448,53.178871,-2.372225,-58.075677
2016-Mar-31 00:00:00.0000 TDB,2457478.50000,292.819217,2.398060,118.218551,45.807930,-108.870527,4.946480,-23.233447,53.178904,-2.372226,-58.075705
2016-Apr-01 00:00:00.0000 TDB,2457479.50000,292.818996,2.398076,118.185009,45.794511,-108.839814,4.945110,-23.233445,53.178938,-2.372228,-58.075732
2016-Apr-02 00:00:00.0000 TDB,2457480.50000,292.818774,2.398092,118.151468,45.781093,-108.809100,4.943740,-23.233444,53.178971,-2.372230,-58.075759
2016-Apr-03 00:00:00.0000 TDB,2457481.50000,292.818552,2.398109,118.117926,45.767674,-108.778387,4.942370,-23.233443,53.179004,-2.372232,-58.075785
2016-Apr-04 00:00:00.0000 TDB,2457482.50000,292.818330,2.398125,118.084385,45.754256,-108.747673,4.941000,-23.233441,53.179037,-2.372234,-58.075812
2016-Apr-05 00:00:00.0000 TDB,2457483.50000,292.818108,2.398141,118.050843,45.740838,-108.716960,4.939630,-23.233439,53.179070,-2.372235,-58.075839
2016-Apr-06 00:00:00.0000 TDB,2457484.50000,292.817886,2.398157,118.017301,45.727419,-108.686246,4.938260,-23.233438,53.179103,-2.372237,-58.075866
2016-Apr-07 00:00:00.0000 TDB,2457485.50000,292.817663,2.398174,117.983760,45.714001,-108.655533,4.936889,-23.233436,53.179136,-2.372239,-58.075893
2016-Apr-08 00:00:00.0000 TDB,2457486.50000,292.817441,2.398190,117.950218,45.700582,-108.624819,4.935519,-23.233434,53.179169,-2.372241,-58.075919
2016-Apr-09 00:00:00.0000 TDB,2457487.50000,292.817218,2.398206,117.916676,45.687164,-108.594106,4.934149,-23.233433,53.179202,-2.372243,-58.075946
2016-Apr-10 00:00:00.0000 TDB,2457488.50000,292.816995,2.398222,117.883135,45.673745,-108.563392,4.932779,-23.233431,53.179235,-2.372245,-58.075973
2016-Apr-11 00:00:00.0000 TDB,2457489.50000,292.816772,2.398239,117.849593,45.660327,-108.532679,4.931409,-23.233429,53.179268,-2.372247,-58.075999
2016-Apr-12 00:00:00.0000 TDB,2457490.50000,292.816549,2.398255,117.816051,45.646909,-108.501965,4.930039,-23.233427,53.179301,-2.372249,-58.076026
2016-Apr-13 00:00:00.0000 TDB,2457491.50000,292.816326,2.398271,117.782510,45.633490,-108.471251,4.928669,-23.233425,53.179334,-2.372250,-58.076053
2016-Apr-14 00:00:00.0000 TDB,2457492.50000,292.816103,2.398288,117.748968,45.620072,-108.440538,4.927299,-23.233423,53.179368,-2.372252,-58.076080
2016-Apr-15 00:00:00.0000 TDB,2457493.50000,292.815880,2.398304,117.715426,45.606653,-108.409824,4.925929,-23.233421,53.179401,-2.372254,-58.076107
2016-Apr-16 00:00:00.0000 TDB,2457494.50000,292.815656,2.398320,117.681884,45.593235,-108.379110,4.924559,-23.233419,53.179434,-2.372256,-58.076133
2016-Apr-17 00:00:00.0000 TDB,2457495.50000,292.815433,2.398337,117.648343,45.579816,-108.348397,4.923189,-23.233417,53.179468,-2.372258,-58.076160
2016-Apr-18 00:00:00.0000 TDB,2457496.50000,292.815209,2.398353,117.614801,45.566398,-108.317683,4.921818,-23.233415,53.179501,-2.372260,-58.076187
2016-Apr-19 00:00:00.0000 TDB,2457497.50000,292.814985,2.398369,117.581259,45.552980,-108.286969,4.920448,-23.233413,53.179535,-2.372262,-58.076215
2016-Apr-20 00:00:00.0000 TDB,2457498.50000,292.814761,2.398386,117.547717,45.539561,-108.256255,4.919078,-23.233411,53.179569,-2.372264,-58.076242
2016-Apr-21 00:00:00.0000 TDB,2457499.50000,292.814537,2.398402,117.514175,45.526143,-108.225542,4.917708,-23.233409,53.179602,-2.372266,-58.076269
2016-Apr-22 00:00:00.0000 TDB,2457500.50000,292.814313,2.398418,117.480633,45.512724,-108.194828,4.916338,-23.233407,53.179636,-2.372268,-58.076296
