# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 01 01 0000  292.840568  2.396560  121.237379
2016 01 02 0000  292.840359  2.396575  121.203833
2016 01 03 0000  292.840150  2.396591  121.170287
2016 01 04 0000  292.839941  2.396606  121.136740
2016 01 05 0000  292.839731  2.396622  121.103194
2016 01 06 0000  292.839522  2.396637  121.069648
2016 01 07 0000  292.839312  2.396653  121.036101
2016 01 08 0000  292.839103  2.396668  121.002555
2016 01 09 0000  292.838893  2.396684  120.969009
2016 01 10 0000  292.838683  2.396700  120.935462
2016 01 11 0000  292.838473  2.396715  120.901916
2016 01 12 0000  292.838263  2.396731  120.868369
2016 01 13 0000  292.838053  2.396746  120.834823
2016 01 14 0000  292.837842  2.396762  120.801276
2016 01 15 0000  292.837632  2.396778  120.767730
2016 01 16 0000  292.837421  2.396793  120.734183
2016 01 17 0000  292.837210  2.396809  120.700636
2016 01 18 0000  292.836999  2.396824  120.667090
2016 01 19 0000  292.836789  2.396840  120.633543
2016 01 20 0000  292.836577  2.396856  120.599997
2016 01 21 0000  292.836366  2.396871  120.566450
2016 01 22 0000  292.836155  2.396887  120.532903
2016 01 23 0000  292.835944  2.396903  120.499356
2016 01 24 0000  292.835732  2.396918  120.465810
2016 01 25 0000  292.835520  2.396934  120.432263
2016 01 26 0000  292.835309  2.396950  120.398716
2016 01 27 0000  292.835097  2.396965  120.365170
2016 01 28 0000  292.834885  2.396981  120.331623
2016 01 29 0000  292.834672  2.396997  120.298076
2016 01 30 0000  292.834460  2.397013  120.264529
2016 01 31 0000  292.834248  2.397028  120.230982
2016 02 01 0000  292.834035  2.397044  120.197435
2016 02 02 0000  292.833823  2.397060  120.163889
2016 02 03 0000  292.833610  2.397076  120.130342
2016 02 04 0000  292.833397  2.397092  120.096795
2016 02 05 0000  292.833184  2.397107  120.063248
2016 02 06 0000  292.832971  2.397123  120.029701
2016 02 07 0000  292.832758  2.397139  119.996154
2016 02 08 0000  292.832545  2.397155  119.962607
2016 02 09 0000  292.832331  2.397171  119.929060
2016 02 10 0000  292.832118  2.397186  119.895513
2016 02 11 0000  292.831904  2.397202  119.861966
2016 02 12 0000  292.831690  2.397218  119.828419
2016 02 13 0000  292.831476  2.397234  119.794872
2016 02 14 0000  292.831262  2.397250  119.761324
2016 02 15 0000  292.831048  2.397266  119.727777
2016 02 16 0000  292.830834  2.397282  119.694230
2016 02 17 0000  292.830619  2.397298  119.660683
2016 02 18 0000  292.830405  2.397313  119.627136
2016 02 19 0000  292.830190  2.397329  119.593589
2016 02 20 0000  292.829975  2.397345  119.560041
2016 02 21 0000  292.829760  2.397361  119.526494
2016 02 22 0000  292.829545  2.397377  119.492947
2016 02 23 0000  292.829330  2.397393  119.459400
2016 02 24 0000  292.829115  2.397409  119.425852
2016 02 25 0000  292.828900  2.397425  119.392305
2016 02 26 0000  292.828684  2.397441  119.358758
2016 02 27 0000  292.828469  2.397457  119.325210
2016 02 28 0000  292.828253  2.397473  119.291663
2016 02 29 0000  292.828037  2.397489  119.258115
2016 03 01 0000  292.827821  2.397505  119.224568
2016 03 02 0000  292.827605  2.397521  119.191021
2016 03 03 0000  292.827389  2.397537  119.157473
2016 03 04 0000  292.827172  2.397553  119.123926
2016 03 05 0000  292.826956  2.397569  119.090378
2016 03 06 0000  292.826739  2.397585  119.056831
2016 03 07 0000  292.826523  2.397601  119.023283
2016 03 08 0000  292.826306  2.397617  118.989736
2016 03 09 0000  292.826089  2.397633  118.956188
2016 03 10 0000  292.825872  2.397650  118.922640
2016 03 11 0000  292.825655  2.397666  118.889093
2016 03 12 0000  292.825437  2.397682  118.855545
2016 03 13 0000  292.825220  2.397698  118.821998
2016 03 14 0000  292.825002  2.397714  118.788450
2016 03 15 0000  292.824785  2.397730  118.754902
2016 03 16 0000  292.824567  2.397746  118.721355
2016 03 17 0000  292.824349  2.397762  118.687807
2016 03 18 0000  292.824131  2.397779  118.654259
2016 03 19 0000  292.823913  2.397795  118.620711
2016 03 20 0000  292.823694  2.397811  118.587164
2016 03 21 0000  292.823476  2.397827  118.553616
2016 03 22 0000  292.823257  2.397843  118.520068
2016 03 23 0000  292.823039  2.397860  118.486520
2016 03 24 0000  292.822820  2.397876  118.452972
2016 03 25 0000  292.822601  2.397892  118.419424
2016 03 26 0000  292.822382  2.397908  118.385876
2016 03 27 0000  292.822163  2.397925  118.352329
2016 03 28 0000  292.821943  2.397941  118.318781
2016 03 29 0000  292.821724  2.397957  118.285233
2016 03 30 0000  292.821504  2.397973  118.251685
2016 03 31 0000  292.821285  2.397990  118.218137
2016 04 01 0000  292.821065  2.398006  118.184589
2016 04 02 0000  292.820845  2.398022  118.151041
2016 04 03 0000  292.820625  2.398039  118.117493
2016 04 04 0000  292.820405  2.398055  118.083945
2016 04 05 0000  292.820185  2.398071  118.050396
2016 04 06 0000  292.819964  2.398088  118.016848
2016 04 07 0000  292.819744  2.398104  117.983300
2016 04 08 0000  292.819523  2.398120  117.949752
2016 04 09 0000  292.819302  2.398137  117.916204
2016 04 10 0000  292.819081  2.398153  117.882656
2016 04 11 0000  292.818860  2.398169  117.849107
2016 04 12 0000  292.818639  2.398186  117.815559
2016 04 13 0000  292.818418  2.398202  117.782011
2016 04 14 0000  292.818196  2.398219  117.748463
2016 04 15 0000  292.817975  2.398235  117.714914
2016 04 16 0000  292.817753  2.398251  117.681366
2016 04 17 0000  292.817531  2.398268  117.647818
2016 04 18 0000  292.817309  2.398284  117.614269
2016 04 19 0000  292.817087  2.398301  117.580721
2016 04 20 0000  292.816865  2.398317  117.547173
2016 04 21 0000  292.816643  2.398334  117.513624
2016 04 22 0000  292.816420  2.398350  117.480076
2016 04 23 0000  292.816198  2.398367  117.446527
2016 04 24 0000  292.815975  2.398383  117.412979
2016 04 25 0000  292.815752  2.398400  117.379430
2016 04 26 0000  292.815529  2.398416  117.345882
2016 04 27 0000  292.815306  2.398433  117.312333
2016 04 28 0000  292.815083  2.398449  117.278785
2016 04 29 0000  292.814860  2.398466  117.245236
2016 04 30 0000  292.814636  2.398483  117.211688
2016 05 01 0000  292.814413  2.398499  117.178139
2016 05 02 0000  292.814189  2.398516  117.144591
2016 05 03 0000  292.813965  2.398532  117.111042
2016 05 04 0000  292.813741  2.398549  117.077493
2016 05 05 0000  292.813517  2.398566  117.043945
2016 05 06 0000  292.813293  2.398582  117.010396
2016 05 07 0000  292.813069  2.398599  116.976847
2016 05 08 0000  292.812844  2.398615  116.943298
2016 05 09 0000  292.812619  2.398632  116.909750
2016 05 10 0000  292.812395  2.398649  116.876201
