# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 01 01 0000  292.734289  2.377870  122.194423
2016 01 02 0000  292.742068  2.377807  122.164648
2016 01 03 0000  292.749882  2.377750  122.134577
2016 01 04 0000  292.757727  2.377699  122.104207
2016 01 05 0000  292.765602  2.377653  122.073539
2016 01 06 0000  292.773504  2.377613  122.042570
2016 01 07 0000  292.781430  2.377579  122.011300
2016 01 08 0000  292.789378  2.377550  121.979727
2016 01 09 0000  292.797346  2.377528  121.947852
2016 01 10 0000  292.805330  2.377511  121.915672
2016 01 11 0000  292.813328  2.377500  121.883188
2016 01 12 0000  292.821338  2.377495  121.850400
2016 01 13 0000  292.829356  2.377496  121.817307
2016 01 14 0000  292.837380  2.377503  121.783909
2016 01 15 0000  292.845408  2.377516  121.750206
2016 01 16 0000  292.853436  2.377534  121.716200
2016 01 17 0000  292.861462  2.377559  121.681891
2016 01 18 0000  292.869484  2.377590  121.647279
2016 01 19 0000  292.877499  2.377626  121.612365
2016 01 20 0000  292.885505  2.377669  121.577150
2016 01 21 0000  292.893500  2.377717  121.541636
2016 01 22 0000  292.901480  2.377772  121.505822
2016 01 23 0000  292.909444  2.377832  121.469710
2016 01 24 0000  292.917390  2.377899  121.433301
2016 01 25 0000  292.925315  2.377971  121.396595
2016 01 26 0000  292.933217  2.378049  121.359594
2016 01 27 0000  292.941093  2.378133  121.322298
2016 01 28 0000  292.948941  2.378223  121.284709
2016 01 29 0000  292.956760  2.378318  121.246828
2016 01 30 0000  292.964545  2.378420  121.208655
2016 01 31 0000  292.972296  2.378527  121.170192
2016 02 01 0000  292.980010  2.378640  121.131441
2016 02 02 0000  292.987683  2.378758  121.092402
2016 02 03 0000  292.995315  2.378882  121.053077
2016 02 04 0000  293.002902  2.379012  121.013468
2016 02 05 0000  293.010441  2.379147  120.973576
2016 02 06 0000  293.017931  2.379288  120.933404
2016 02 07 0000  293.025369  2.379434  120.892953
2016 02 08 0000  293.032752  2.379586  120.852225
2016 02 09 0000  293.040078  2.379743  120.811223
2016 02 10 0000  293.047344  2.379906  120.769949
2016 02 11 0000  293.054549  2.380074  120.728406
2016 02 12 0000  293.061688  2.380247  120.686597
2016 02 13 0000  293.068762  2.380426  120.644526
2016 02 14 0000  293.075766  2.380610  120.602194
2016 02 15 0000  293.082698  2.380799  120.559606
2016 02 16 0000  293.089558  2.380994  120.516764
2016 02 17 0000  293.096343  2.381194  120.473673
2016 02 18 0000  293.103050  2.381398  120.430335
2016 02 19 0000  293.109678  2.381608  120.386753
2016 02 20 0000  293.116225  2.381823  120.342931
2016 02 21 0000  293.122689  2.382043  120.298871
2016 02 22 0000  293.129069  2.382267  120.254578
2016 02 23 0000  293.135362  2.382496  120.210054
2016 02 24 0000  293.141566  2.382730  120.165303
2016 02 25 0000  293.147680  2.382969  120.120328
2016 02 26 0000  293.153703  2.383212  120.075132
2016 02 27 0000  293.159631  2.383460  120.029718
2016 02 28 0000  293.165463  2.383712  119.984090
2016 02 29 0000  293.171198  2.383968  119.938252
2016 03 01 0000  293.176833  2.384229  119.892207
2016 03 02 0000  293.182367  2.384494  119.845958
2016 03 03 0000  293.187798  2.384763  119.799509
2016 03 04 0000  293.193124  2.385036  119.752864
2016 03 05 0000  293.198343  2.385313  119.706027
2016 03 06 0000  293.203454  2.385594  119.659003
2016 03 07 0000  293.208454  2.385878  119.611794
2016 03 08 0000  293.213342  2.386167  119.564405
2016 03 09 0000  293.218117  2.386459  119.516841
2016 03 10 0000  293.222775  2.386755  119.469107
