# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 01 01 0000  292.838681  2.396639  121.237228
2016 01 02 0000  292.838470  2.396654  121.203688
2016 01 03 0000  292.838259  2.396670  121.170147
2016 01 04 0000  292.838048  2.396685  121.136607
2016 01 05 0000  292.837836  2.396701  121.103067
2016 01 06 0000  292.837625  2.396716  121.069526
2016 01 07 0000  292.837413  2.396732  121.035986
2016 01 08 0000  292.837201  2.396747  121.002446
2016 01 09 0000  292.836989  2.396763  120.968905
2016 01 10 0000  292.836777  2.396778  120.935365
2016 01 11 0000  292.836565  2.396793  120.901825
2016 01 12 0000  292.836353  2.396809  120.868284
2016 01 13 0000  292.836140  2.396824  120.834744
2016 01 14 0000  292.835928  2.396840  120.801204
2016 01 15 0000  292.835715  2.396856  120.767663
2016 01 16 0000  292.835502  2.396871  120.734123
2016 01 17 0000  292.835290  2.396887  120.700582
2016 01 18 0000  292.835077  2.396902  120.667042
2016 01 19 0000  292.834864  2.396918  120.633501
2016 01 20 0000  292.834650  2.396933  120.599961
2016 01 21 0000  292.834437  2.396949  120.566420
2016 01 22 0000  292.834224  2.396964  120.532880
2016 01 23 0000  292.834010  2.396980  120.499339
2016 01 24 0000  292.833797  2.396996  120.465799
2016 01 25 0000  292.833583  2.397011  120.432258
2016 01 26 0000  292.833369  2.397027  120.398718
2016 01 27 0000  292.833155  2.397042  120.365177
2016 01 28 0000  292.832941  2.397058  120.331637
2016 01 29 0000  292.832727  2.397074  120.298096
2016 01 30 0000  292.832512  2.397089  120.264555
2016 01 31 0000  292.832298  2.397105  120.231015
2016 02 01 0000  292.832083  2.397121  120.197474
2016 02 02 0000  292.831869  2.397136  120.163933
2016 02 03 0000  292.831654  2.397152  120.130393
2016 02 04 0000  292.831439  2.397168  120.096852
2016 02 05 0000  292.831224  2.397183  120.063311
2016 02 06 0000  292.831009  2.397199  120.029771
2016 02 07 0000  292.830794  2.397215  119.996230
2016 02 08 0000  292.830578  2.397231  119.962689
2016 02 09 0000  292.830363  2.397246  119.929148
2016 02 10 0000  292.830147  2.397262  119.895608
2016 02 11 0000  292.829931  2.397278  119.862067
2016 02 12 0000  292.829716  2.397294  119.828526
2016 02 13 0000  292.829500  2.397309  119.794985
2016 02 14 0000  292.829284  2.397325  119.761445
2016 02 15 0000  292.829067  2.397341  119.727904
2016 02 16 0000  292.828851  2.397357  119.694363
2016 02 17 0000  292.828635  2.397372  119.660822
2016 02 18 0000  292.828418  2.397388  119.627281
2016 02 19 0000  292.828202  2.397404  119.593740
2016 02 20 0000  292.827985  2.397420  119.560199
2016 02 21 0000  292.827768  2.397436  119.526658
2016 02 22 0000  292.827551  2.397452  119.493118
2016 02 23 0000  292.827334  2.397467  119.459577
2016 02 24 0000  292.827117  2.397483  119.426036
2016 02 25 0000  292.826899  2.397499  119.392495
2016 02 26 0000  292.826682  2.397515  119.358954
2016 02 27 0000  292.826464  2.397531  119.325413
2016 02 28 0000  292.826246  2.397547  119.291872
2016 02 29 0000  292.826029  2.397563  119.258331
2016 03 01 0000  292.825811  2.397579  119.224790
2016 03 02 0000  292.825593  2.397595  119.191248
2016 03 03 0000  292.825375  2.397610  119.157707
2016 03 04 0000  292.825156  2.397626  119.124166
2016 03 05 0000  292.824938  2.397642  119.090625
2016 03 06 0000  292.824719  2.397658  119.057084
2016 03 07 0000  292.824501  2.397674  119.023543
2016 03 08 0000  292.824282  2.397690  118.990002
2016 03 09 0000  292.824063  2.397706  118.956461
2016 03 10 0000  292.823844  2.397722  118.922919
2016 03 11 0000  292.823625  2.397738  118.889378
2016 03 12 0000  292.823406  2.397754  118.855837
2016 03 13 0000  292.823186  2.397770  118.822296
2016 03 14 0000  292.822967  2.397786  118.788754
2016 03 15 0000  292.822747  2.397802  118.755213
2016 03 16 0000  292.822527  2.397818  118.721672
2016 03 17 0000  292.822308  2.397834  118.688131
2016 03 18 0000  292.822088  2.397850  118.654589
2016 03 19 0000  292.821868  2.397867  118.621048
2016 03 20 0000  292.821647  2.397883  118.587507
2016 03 21 0000  292.821427  2.397899  118.553965
2016 03 22 0000  292.821207  2.397915  118.520424
2016 03 23 0000  292.820986  2.397931  118.486883
2016 03 24 0000  292.820765  2.397947  118.453341
2016 03 25 0000  292.820545  2.397963  118.419800
2016 03 26 0000  292.820324  2.397979  118.386258
2016 03 27 0000  292.820103  2.397995  118.352717
2016 03 28 0000  292.819881  2.398012  118.319175
2016 03 29 0000  292.819660  2.398028  118.285634
2016 03 30 0000  292.819439  2.398044  118.252092
2016 03 31 0000  292.819217  2.398060  118.218551
2016 04 01 0000  292.818996  2.398076  118.185009
2016 04 02 0000  292.818774  2.398092  118.151468
2016 04 03 0000  292.818552  2.398109  118.117926
2016 04 04 0000  292.818330  2.398125  118.084385
2016 04 05 0000  292.818108  2.398141  118.050843
2016 04 06 0000  292.817886  2.398157  118.017301
2016 04 07 0000  292.817663  2.398174  117.983760
2016 04 08 0000  292.817441  2.398190  117.950218
2016 04 09 0000  292.817218  2.398206  117.916676
2016 04 10 0000  292.816995  2.398222  117.883135
2016 04 11 0000  292.816772  2.398239  117.849593
2016 04 12 0000  292.816549  2.398255  117.816051
2016 04 13 0000  292.816326  2.398271  117.782510
2016 04 14 0000  292.816103  2.398288  117.748968
2016 04 15 0000  292.815880  2.398304  117.715426
2016 04 16 0000  292.815656  2.398320  117.681884
2016 04 17 0000  292.815433  2.398337  117.648343
2016 04 18 0000  292.815209  2.398353  117.614801
2016 04 19 0000  292.814985  2.398369  117.581259
2016 04 20 0000  292.814761  2.398386  117.547717
2016 04 21 0000  292.814537  2.398402  117.514175
2016 04 22 0000  292.814313  2.398418  117.480633
2016 04 23 0000  292.814088  2.398435  117.447092
2016 04 24 0000  292.813864  2.398451  117.413550
2016 04 25 0000  292.813639  2.398468  117.380008
2016 04 26 0000  292.813414  2.398484  117.346466
2016 04 27 0000  292.813190  2.398500  117.312924
2016 04 28 0000  292.812965  2.398517  117.279382
2016 04 29 0000  292.812740  2.398533  117.245840
2016 04 30 0000  292.812514  2.398550  117.212298
2016 05 01 0000  292.812289  2.398566  117.178756
2016 05 02 0000  292.812064  2.398583  117.145214
2016 05 03 0000  292.811838  2.398599  117.111672
2016 05 04 0000  292.811612  2.398616  117.078130
2016 05 05 0000  292.811386  2.398632  117.044588
2016 05 06 0000  292.811160  2.398649  117.011046
2016 05 07 0000  292.810934  2.398665  116.977504
2016 05 08 0000  292.810708  2.398682  116.943962
2016 05 09 0000  292.810482  2.398698  116.910419
2016 05 10 0000  292.810255  2.398715  116.876877
2016 05 11 0000  292.810029  2.398731  116.843335
2016 05 12 0000  292.809802  2.398748  116.809793
2016 05 13 0000  292.809575  2.398764  116.776251
2016 05 14 0000  292.809348  2.398781  116.742709
2016 05 15 0000  292.809121  2.398798  116.709166
2016 05 16 0000  292.808894  2.398814  116.675624
2016 05 17 0000  292.808666  2.398831  116.642082
2016 05 18 0000  292.808439  2.398847  116.608540
2016 05 19 0000  292.808211  2.398864  116.574997
2016 05 20 0000  292.807984  2.398881  116.541455
2016 05 21 0000  292.807756  2.398897  116.507913
2016 05 22 0000  292.807528  2.398914  116.474370
2016 05 23 0000  292.807300  2.398931  116.440828
2016 05 24 0000  292.807071  2.398947  116.407286
2016 05 25 0000  292.806843  2.398964  116.373743
2016 05 26 0000  292.806614  2.398981  116.340201
2016 05 27 0000  292.806386  2.398997  116.306658
2016 05 28 0000  292.806157  2.399014  116.273116
2016 05 29 0000  292.805928  2.399031  116.239573
2016 05 30 0000  292.805699  2.399048  116.206031
2016 05 31 0000  292.805470  2.399064  116.172488
2016 06 01 0000  292.805241  2.399081  116.138946
2016 06 02 0000  292.805011  2.399098  116.105403
2016 06 03 0000  292.804782  2.399115  116.071861
2016 06 04 0000  292.804552  2.399131  116.038318
2016 06 05 0000  292.804322  2.399148  116.004776
2016 06 06 0000  292.804092  2.399165  115.971233
2016 06 07 0000  292.803862  2.399182  115.937691
2016 06 08 0000  292.803632  2.399199  115.904148
2016 06 09 0000  292.803402  2.399215  115.870605
2016 06 10 0000  292.803171  2.399232  115.837063
